seed,budget_seconds,policy_cost,milp_oracle_cost_from_cache,gap_closure,serve_all_flag,n_window_solves,n_solves_hit_time_limit,n_solves_no_incumbent,n_solves_fallback_fired,measured_total_solve_seconds,measured_mean_per_decision_seconds,n_decisions,measured_total_build_seconds,mean_build_s,mean_solve_s,instance_wall_clock_seconds
90109,1.0,234.20998018982354,,,1,48,32,20,20,35.58135820471216,0.7412782959315033,57,3.512844500830397,0.0731842604339666,0.7412782959315033,39.23706920898985
90110,1.0,293.7688350579661,,,1,54,36,23,23,38.555833084043115,0.7139969089637614,69,3.4096927099162713,0.06314245759104206,0.7139969089637614,42.10689487494528
90111,1.0,403.37494000466154,,,1,79,60,41,41,61.98021195671754,0.784559645021741,95,7.741505372920074,0.09799373889772245,0.784559645021741,70.00098495802376
90112,1.0,272.4912399655382,,,1,52,34,19,19,36.53381462575635,0.7025733581876221,66,3.9960915418923832,0.07684791426716121,0.7025733581876221,40.694959875021596
90113,1.0,400.1290768673766,,,1,73,57,39,39,60.77886003733147,0.8325871237990612,91,6.152167462161742,0.08427626660495537,0.8325871237990612,67.16484933299944
90114,1.0,331.9614093354202,,,1,69,51,27,27,52.881250827922486,0.7663949395351085,82,5.937332627072465,0.0860482989430792,0.7663949395351085,59.06548766704509
90115,1.0,,,,0,83,68,51,51,72.26257524662651,0.8706334367063435,101,8.867358839081135,0.10683564866362813,0.8706334367063435,81.4353579999879
90116,1.0,343.4405235424778,,,1,65,54,32,32,55.69011670706095,0.8567710262624761,79,6.471318003023043,0.09955873850804682,0.8567710262624761,62.407053374976385
90117,1.0,298.4544728283943,,,1,59,40,27,27,41.56417516700458,0.7044775452034674,73,4.12833541695727,0.06997178672808933,0.7044775452034674,45.854882542043924
90118,1.0,325.0722094815754,,,1,63,49,27,27,50.32579720695503,0.7988221778881751,77,4.944972210156266,0.07849162238343278,0.7988221778881751,55.47379283403279
90119,1.0,405.0827883386847,,,1,77,62,40,40,64.89353054296225,0.8427731239345747,96,8.167748504958581,0.106074655908553,0.8427731239345747,73.36279887502315
90120,1.0,334.56720695805626,,,1,63,46,31,31,48.56502153608017,0.7708733577155582,79,5.737849713885225,0.09107697958547976,0.7708733577155582,54.52202779101208
90121,1.0,364.6020456605491,,,1,67,53,35,35,56.14882545883302,0.8380421710273585,85,6.202423125738278,0.09257347948863101,0.8380421710273585,62.58656083396636
90122,1.0,346.3565988449443,,,1,68,46,30,30,52.98733482888201,0.7792255121894414,86,6.054894837143365,0.08904257113446125,0.7792255121894414,59.280190041987225
90123,1.0,230.6515442822683,,,1,45,35,23,23,36.083483376016375,0.8018551861336972,57,4.112838999950327,0.09139642222111838,0.8018551861336972,40.35380062501645
90124,1.0,353.642848960797,,,1,69,52,35,35,55.9795037949807,0.8112971564489957,84,7.134452617261559,0.10339786401828346,0.8112971564489957,63.38535620900802
90125,1.0,248.67811424328028,,,1,52,38,20,20,40.71404308330966,0.7829623669867243,64,4.065124879125506,0.07817547844472127,0.7829623669867243,44.954472583020106
90126,1.0,293.99056737614427,,,1,59,42,28,28,44.447026957175694,0.7533394399521304,70,4.759894876217004,0.08067618434266108,0.7533394399521304,49.39496020798106
